Nr;X;Blok_Rij_Plantnr;Score MG;Vers netto;Droog netto;DS;DMY (kg/ha);Datum;Uur;;;;
1;;BLOK I_1_1;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
2;;BLOK I_1_2;0;8,3;2,2;0,27;244;12/04/2022;9:15;;;Etiket;4,9 g
3;;BLOK I_1_3;1;8,1;2,2;0,27;244;12/04/2022;9:15;;;Kader;30cm x 30 cm
4;;BLOK I_1_4;4;-4,9;-4,9;1;-544;12/04/2022;9:15;Staal niet geoogst? MG geeft nogthans een 4;;x;Staal zat in laatste weging Bottelare, waar de balans een fout gewicht inlas op de pc
5;;BLOK I_1_5;1;44,3;13,4;0,3;1489;12/04/2022;9:15;;;;Zwakke plant of gat, niet geoogst
6;;BLOK I_1_6;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
7;;BLOK I_1_7;0;38,8;11,5;0,3;1278;12/04/2022;9:15;;;;
8;;BLOK I_1_8;3;189,8;60,9;0,32;6767;12/04/2022;9:15;;;;
9;;BLOK I_1_9;0;17,3;5,5;0,32;611;12/04/2022;9:15;;;;
10;;BLOK I_1_10;3;184,3;46;0,25;5111;12/04/2022;9:15;;;;
11;;BLOK I_1_11;2;122,8;34,3;0,28;3811;12/04/2022;9:15;;;;
12;;BLOK I_1_12;3;230,8;74,3;0,32;8256;12/04/2022;9:15;;;;
13;;BLOK I_1_13;1;138,1;40,9;0,3;4544;12/04/2022;9:15;;;;
14;;BLOK I_1_14;5;380,5;103,5;0,27;11500;12/04/2022;9:15;;;;
15;;BLOK I_1_15;2;207,3;64,4;0,31;7156;12/04/2022;9:15;;;;
16;;BLOK I_1_16;1;74,3;23,3;0,31;2589;12/04/2022;9:15;;;;
17;;BLOK I_1_17;1;27,3;7,8;0,29;867;12/04/2022;9:15;;;;
18;;BLOK I_1_18;3;255,6;82,1;0,32;9122;12/04/2022;9:15;;;;
19;;BLOK I_1_19;1;108,3;29,9;0,28;3322;12/04/2022;9:15;;;;
20;;BLOK I_1_20;3;250,6;65,3;0,26;7256;12/04/2022;9:15;;;;
21;;BLOK I_1_21;1;90,1;27,5;0,31;3056;12/04/2022;9:15;;;;
22;;BLOK I_1_22;4;264,3;82,1;0,31;9122;12/04/2022;9:15;;;;
23;;BLOK I_1_23;1;42;11,6;0,28;1289;12/04/2022;9:15;;;;
24;;BLOK I_1_24;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
25;;BLOK I_1_25;3;276;67,5;0,24;7500;12/04/2022;9:15;;;;
26;;BLOK I_1_26;1;85,9;26,8;0,31;2978;12/04/2022;9:15;;;;
27;;BLOK I_1_27;4;355,9;108,6;0,31;12067;12/04/2022;9:15;;;;
28;;BLOK I_1_28;3;245,2;73,8;0,3;8200;12/04/2022;9:15;;;;
29;;BLOK I_1_29;1;48,3;18;0,37;2000;12/04/2022;9:15;;;;
30;;BLOK I_1_30;3;267,4;82,3;0,31;9144;12/04/2022;9:15;;;;
31;;BLOK I_1_31;2;136,2;43,6;0,32;4844;12/04/2022;9:15;;;;
32;;BLOK I_1_32;2;233,1;71,4;0,31;7933;12/04/2022;9:15;;;;
33;;BLOK I_2_1;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
34;;BLOK I_2_2;3;162,4;40,1;0,25;4456;12/04/2022;9:15;;;;
35;;BLOK I_2_3;1;97,3;31,1;0,32;3456;12/04/2022;9:15;;;;
36;;BLOK I_2_4;2;203,6;50,4;0,25;5600;12/04/2022;9:15;;;;
37;;BLOK I_2_5;1;133,8;38,5;0,29;4278;12/04/2022;9:15;;;;
38;;BLOK I_2_6;1;51;14,9;0,29;1656;12/04/2022;9:15;;;;
39;;BLOK I_2_7;1;99,5;30,4;0,31;3378;12/04/2022;9:15;;;;
40;;BLOK I_2_8;3;238,5;76,8;0,32;8533;12/04/2022;9:15;;;;
41;;BLOK I_2_9;1;7,6;42,1;5,54;4678;12/04/2022;9:15;Foutief versgewicht ingegeven, want staal herdroogd en herwogen;;;
42;;BLOK I_2_10;2;174;51,9;0,3;5767;12/04/2022;9:15;;;;
43;;BLOK I_2_11;3;267,6;75,7;0,28;8411;12/04/2022;9:15;;;;
44;;BLOK I_2_12;1;153,3;44,8;0,29;4978;12/04/2022;9:15;;;;
45;;BLOK I_2_13;1;84,1;24,3;0,29;2700;12/04/2022;9:15;;;;
46;;BLOK I_2_14;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
47;;BLOK I_2_15;2;225,1;64,7;0,29;7189;12/04/2022;9:15;;;;
48;;BLOK I_2_16;2;219,1;58,9;0,27;6544;12/04/2022;9:15;;;;
49;;BLOK I_2_17;1;7,2;2,9;0,4;322;12/04/2022;9:15;;;;
50;;BLOK I_2_18;1;24,7;11,6;0,47;1289;12/04/2022;9:15;;;;
51;;BLOK I_2_19;2;166,6;46,4;0,28;5156;12/04/2022;9:15;;;;
52;;BLOK I_2_20;2;175,1;54,4;0,31;6044;12/04/2022;9:15;;;;
53;;BLOK I_2_21;2;151;46,4;0,31;5156;12/04/2022;9:15;;;;
54;;BLOK I_2_22;1;71,8;22;0,31;2444;12/04/2022;9:15;;;;
55;;BLOK I_2_23;4;229,6;56,7;0,25;6300;12/04/2022;9:15;;;;
56;;BLOK I_2_24;2;186,4;54,6;0,29;6067;12/04/2022;9:15;;;;
57;;BLOK I_2_25;2;184,2;54,9;0,3;6100;12/04/2022;9:15;;;;
58;;BLOK I_2_26;2;102,2;26,4;0,26;2933;12/04/2022;9:15;;;;
59;;BLOK I_2_27;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
60;;BLOK I_2_28;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
61;;BLOK I_2_29;4;285,4;86,9;0,3;9656;12/04/2022;9:15;;;;
62;;BLOK I_2_30;2;169,7;54,9;0,32;6100;12/04/2022;9:15;;;;
63;;BLOK I_2_31;2;135,5;43,3;0,32;4811;12/04/2022;9:15;;;;
64;;BLOK I_2_32;2;292,8;95,6;0,33;10622;12/04/2022;9:15;;;;
65;;BLOK I_3_1;1;48,6;14,5;0,3;1611;12/04/2022;9:15;;;;
66;;BLOK I_3_2;0;-4,9;-4,9;1;-544;12/04/2022;9:15;;;;
67;;BLOK I_3_3;1;169,7;41,2;0,24;4578;12/04/2022;9:15;;;;
68;;BLOK I_3_4;1;121;29,4;0,24;3267;12/04/2022;9:15;;;;
69;;BLOK I_3_5;3;317,3;88,6;0,28;9844;12/04/2022;9:15;;;;
70;;BLOK I_3_6;2;138,5;42,4;0,31;4711;12/04/2022;9:15;;;;
71;;BLOK I_3_7;3;218,2;60,2;0,28;6689;12/04/2022;9:15;;;;
72;;BLOK I_3_8;1;120,9;32,3;0,27;3589;12/04/2022;9:15;;;;
73;;BLOK I_3_9;2;193,8;53,8;0,28;5978;12/04/2022;9:15;;;;
74;;BLOK I_3_10;2;135;40,3;0,3;4478;12/04/2022;9:15;;;;
75;;BLOK I_3_11;1;53;18,8;0,35;2089;12/04/2022;9:15;;;;
76;;BLOK I_3_12;3;247,1;76;0,31;8444;12/04/2022;9:15;;;;
77;;BLOK I_3_13;0;5,5;2,6;0,47;289;12/04/2022;9:15;;;;
78;;BLOK I_3_14;2;198;56,8;0,29;6311;12/04/2022;9:15;;;;
79;;BLOK I_3_15;1;92;28,9;0,31;3211;12/04/2022;9:15;;;;
80;;BLOK I_3_16;1;90,4;25,8;0,29;2867;12/04/2022;9:15;;;;
81;;BLOK I_3_17;2;158,4;51,8;0,33;5756;12/04/2022;9:15;;;;
82;;BLOK I_3_18;3;250,4;73;0,29;8111;12/04/2022;9:15;;;;
83;;BLOK I_3_19;2;171,8;51,7;0,3;5744;12/04/2022;9:15;;;;
84;;BLOK I_3_20;2;147,1;44,1;0,3;4900;12/04/2022;9:15;;;;
85;;BLOK I_3_21;2;108,7;30,5;0,28;3389;12/04/2022;9:15;;;;
86;;BLOK I_3_22;1;114;36,8;0,32;4089;12/04/2022;9:15;;;;
87;;BLOK I_3_23;1;104,4;40,3;0,39;4478;12/04/2022;9:15;;;;
88;;BLOK I_3_24;1;53,6;17,6;0,33;1956;12/04/2022;9:15;;;;
89;;BLOK I_3_25;2;95;26,6;0,28;2956;12/04/2022;9:15;;;;
90;;BLOK I_3_26;3;156,2;39,2;0,25;4356;12/04/2022;9:15;;;;
91;;BLOK I_3_27;2;138,3;36,2;0,26;4022;12/04/2022;9:15;;;;
92;;BLOK I_3_28;2;95,4;29,4;0,31;3267;12/04/2022;9:15;;;;
93;;BLOK I_3_29;3;205,7;61,5;0,3;6833;12/04/2022;9:15;;;;
94;;BLOK I_3_30;1;90,2;32,7;0,36;3633;12/04/2022;9:15;;;;
95;;BLOK I_3_31;3;259,1;72;0,28;8000;12/04/2022;9:15;;;;
96;;BLOK I_3_32;1;84,2;23,6;0,28;2622;12/04/2022;9:15;;;;
97;;BLOK I_4_1;1;82;23,7;0,29;2633;12/04/2022;9:38;;;;
98;;BLOK I_4_2;1;123;36,2;0,29;4022;12/04/2022;9:38;;;;
99;;BLOK I_4_3;1;101,5;35,4;0,35;3933;12/04/2022;9:38;;;;
100;;BLOK I_4_4;1;209,1;53,8;0,26;5978;12/04/2022;9:38;;;;
101;;BLOK I_4_5;1;91,5;30,7;0,34;3411;12/04/2022;9:38;;;;
102;;BLOK I_4_6;1;58,9;16,4;0,28;1822;12/04/2022;9:38;;;;
103;;BLOK I_4_7;2;160,9;46,1;0,29;5122;12/04/2022;9:38;;;;
104;;BLOK I_4_8;0;-4,9;-4,9;1;-544;12/04/2022;9:38;;;;
105;;BLOK I_4_9;1;74,6;22,2;0,3;2467;12/04/2022;9:38;;;;
106;;BLOK I_4_10;2;164;49,7;0,3;5522;12/04/2022;9:38;;;;
107;;BLOK I_4_11;3;269,5;77,1;0,29;8567;12/04/2022;9:38;;;;
108;;BLOK I_4_12;1;117;40,4;0,35;4489;12/04/2022;9:38;;;;
109;;BLOK I_4_13;2;169,5;50,8;0,3;5644;12/04/2022;9:38;;;;
110;;BLOK I_4_14;1;147,6;52,7;0,36;5856;12/04/2022;9:38;;;;
111;;BLOK I_4_15;1;90,4;27,5;0,3;3056;12/04/2022;9:38;;;;
112;;BLOK I_4_16;3;126,6;63,5;0,5;7056;12/04/2022;9:38;;;;
113;;BLOK I_4_17;2;154;45,2;0,29;5022;12/04/2022;9:38;;;;
114;;BLOK I_4_18;1;71,5;25,3;0,35;2811;12/04/2022;9:38;;;;
115;;BLOK I_4_19;1;107;38,3;0,36;4256;12/04/2022;9:38;;;;
116;;BLOK I_4_20;1;70,5;25,3;0,36;2811;12/04/2022;9:38;;;;
117;;BLOK I_4_21;2;190,1;51;0,27;5667;12/04/2022;9:38;;;;
118;;BLOK I_4_22;1;101,3;33,5;0,33;3722;12/04/2022;9:38;;;;
119;;BLOK I_4_23;2;140;43,4;0,31;4822;12/04/2022;9:38;;;;
120;;BLOK I_4_24;2;168,8;47,8;0,28;5311;12/04/2022;9:38;;;;
121;;BLOK I_4_25;2;186,4;57,2;0,31;6356;12/04/2022;9:38;;;;
122;;BLOK I_4_26;2;153,2;49,3;0,32;5478;12/04/2022;9:38;;;;
123;;BLOK I_4_27;2;151,9;48,5;0,32;5389;12/04/2022;9:38;;;;
124;;BLOK I_4_28;2;92,9;27;0,29;3000;12/04/2022;9:38;;;;
125;;BLOK I_4_29;2;131,1;37,6;0,29;4178;12/04/2022;9:38;;;;
126;;BLOK I_4_30;1;97,7;31,7;0,32;3522;12/04/2022;9:38;;;;
127;;BLOK I_4_31;1;13,4;4,5;0,34;500;12/04/2022;9:38;;;;
128;;BLOK I_4_32;2;225,6;75,3;0,33;8367;12/04/2022;9:38;;;;
129;;BLOK I_5_1;1;-4,9;-4,9;1;-544;12/04/2022;10:05;;;;
130;;BLOK I_5_2;1;20,9;3,2;0,15;356;12/04/2022;10:05;;;;
131;;BLOK I_5_3;1;122,9;43,4;0,35;4822;12/04/2022;10:05;;;;
132;;BLOK I_5_4;1;22,6;6,5;0,29;722;12/04/2022;10:05;;;;
133;;BLOK I_5_5;1;139,8;44,7;0,32;4967;12/04/2022;10:05;;;;
134;;BLOK I_5_6;0;-4,9;-4,9;1;-544;12/04/2022;10:05;;;;
